ID,1_percentage,1_counts,2_percentage,2_counts,3_percentage,3_counts,4_percentage,4_counts,5_percentage,5_counts,6_percentage,6_counts,7_percentage,7_counts,8_percentage,8_counts,9_percentage,9_counts,10_percentage,10_counts,11_percentage,11_counts,12_percentage,12_counts,13_percentage,13_counts,14_percentage,14_counts,15_percentage,15_counts,16_percentage,16_counts,17_percentage,17_counts,18_percentage,18_counts
3_74_169624_2,49.61,252.0,6.69,34.0,0.79,4.0,1.18,6.0,3.94,20.0,0.0,0.0,26.18,133.0,0.2,1.0,0.0,0.0,0.59,3.0,1.97,10.0,0.39,2.0,0.39,2.0,5.31,27.0,0.2,1.0,0.0,0.0,0.39,2.0,0.0,0.0
4_157_181549_2,54.14,216.0,12.28,49.0,1.5,6.0,10.28,41.0,6.27,25.0,0.0,0.0,11.03,44.0,0.75,3.0,0.0,0.0,0.5,2.0,0.25,1.0,0.25,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0
4_150_180736_91,76.0,76.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4_78_170239_49,57.09,435.0,11.29,86.0,1.97,15.0,6.3,48.0,4.46,34.0,0.0,0.0,10.63,81.0,0.0,0.0,0.0,0.0,0.13,1.0,0.52,4.0,1.18,9.0,0.13,1.0,2.76,21.0,0.0,0.0,0.0,0.0,0.13,1.0,0.13,1.0
4_105_173701_38,68.25,129.0,8.47,16.0,0.53,1.0,1.59,3.0,2.12,4.0,0.0,0.0,12.17,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.0,1.59,3.0,0.0,0.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.0
2_43_165457_22,62.0,31.0,4.0,2.0,2.0,1.0,4.0,2.0,6.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2_39_165052_6,70.27,52.0,4.05,3.0,0.0,0.0,4.05,3.0,2.7,2.0,0.0,0.0,8.11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.0,5.41,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_30_164131_5,14.79,54.0,1.1,4.0,0.27,1.0,0.82,3.0,1.37,5.0,55.89,204.0,19.45,71.0,0.27,1.0,0.0,0.0,0.27,1.0,0.0,0.0,0.27,1.0,0.27,1.0,1.37,5.0,0.0,0.0,0.0,0.0,0.27,1.0,0.27,1.0
4_86_171046_7,66.29,59.0,11.24,10.0,0.0,0.0,5.62,5.0,1.12,1.0,0.0,0.0,12.36,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_149_180370_17,56.73,156.0,9.09,25.0,0.73,2.0,5.09,14.0,4.36,12.0,0.0,0.0,14.18,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,4.0,1.09,3.0,0.0,0.0,4.36,12.0,0.0,0.0,0.36,1.0,0.36,1.0,0.36,1.0
